Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$7,504.2M","$8,837.9M",84.9%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,"$1,148.0M","$6,498.4M",17.7%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$3,610.8M","$4,256.8M",84.8%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$2,418.8M","$3,957.7M",61.1%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$679.4M,"$1,028.5M",66.1%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$562.0M,$808.5M,69.5%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$226.2M,$305.1M,74.2%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$179.5M,$231.0M,77.7%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2013-FY2014,2014,96-3126 13/14 - Regulatory Program,$81.8M,$196.9M,41.5%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2013-FY2014,2014,96-3124 13/14 - Expenses,$74.9M,$179.4M,41.8%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$55.7M,$116.2M,47.9%
May,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Special Recreation Use Fees,96-5007,No Year,No Year,96-5007 /X - Special Recreation Use Fees,$45.2M,$45.2M,100.0%
