Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$6,175.1M","$7,671.1M",80.5%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,"$1,380.8M","$5,956.4M",23.2%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$3,106.9M","$4,685.7M",66.3%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$2,591.3M","$2,778.2M",93.3%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$848.7M,"$1,045.4M",81.2%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$346.8M,$511.7M,67.8%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$344.0M,$373.5M,92.1%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$215.8M,$297.2M,72.6%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2015-FY2016,2016,96-3126 15/16 - Regulatory Program,$118.5M,$216.0M,54.9%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2015-FY2016,2016,96-3124 15/16 - Expenses,$91.9M,$194.4M,47.3%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$55.1M,$114.5M,48.1%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Inland Waterways Trust Fund,96-96-8861,No Year,No Year,96-96-8861 /X - Inland Waterways Trust Fund,$0.0M,$68.8M,0.0%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$25.9M,$27.7M,93.7%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2014-FY2015,2015,96-3126 14/15 - Regulatory Program,$8.7M,$22.9M,37.8%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2014-FY2015,2015,96-3124 14/15 - Expenses,$9.9M,$16.7M,59.5%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$12.6M,$12.6M,100.0%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$7.9M,$11.9M,66.7%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$7.9M,$11.9M,66.3%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$7.7M,$11.3M,68.4%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2015-FY2016,2016,96-3132 15/16 - Office of the Assistant Secretary of the Army for Civil Works,$0.1M,$3.0M,1.6%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.2M,$0.4M,38.2%
Apr,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,50.0%
Apr,2015,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015,2015,12-3505 /15 - Supplemental Nutrition Assistance Program,"$33,784.3M","$77,078.6M",43.8%
Apr,2015,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$16,185.1M","$24,662.0M",65.6%
Apr,2015,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2015-FY2016,2016,12-3539 15/16 - State Child Nutrition Programs,"$5,172.2M","$21,279.9M",24.3%
Apr,2015,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$5,385.0M","$13,475.9M",40.0%
Apr,2015,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$7,663.0M","$9,284.2M",82.5%
Apr,2015,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2015-FY2016,2016,"12-3510 15/16 - Special Supplemental Nutrition Program for Women, Infants, and C","$1,649.3M","$6,623.0M",24.9%
Apr,2015,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$3,185.7M","$4,694.7M",67.9%
Apr,2015,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$3,956.0M","$4,438.1M",89.1%
Apr,2015,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$2,379.6M","$4,007.1M",59.4%
Apr,2015,Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,"$2,926.5M","$3,257.1M",89.8%
Apr,2015,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,"$1,927.7M","$2,783.7M",69.2%
Apr,2015,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,"$1,527.4M","$2,666.6M",57.3%
Apr,2015,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,"$1,479.1M","$2,219.1M",66.7%
Apr,2015,Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$859.7M,"$1,787.4M",48.1%
Apr,2015,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2015,2015,12-1400 /15 - Salaries and Expenses,$742.2M,"$1,357.8M",54.7%
Apr,2015,Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$738.6M,"$1,173.0M",63.0%
Apr,2015,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2015,2015,12-0137 /15 - Rental Assistance Program,$104.2M,"$1,088.5M",9.6%
Apr,2015,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$466.0M,"$1,081.8M",43.1%
Apr,2015,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2015,2015,12-3700 /15 - Salaries and Expenses,$370.7M,$983.1M,37.7%
Apr,2015,Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$390.2M,$960.8M,40.6%
Apr,2015,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2015,2015,12-0600 /15 - Salaries and Expenses,$416.2M,$944.4M,44.1%
Apr,2015,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$566.1M,$857.4M,66.0%
Apr,2015,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2015-FY2016,2016,12-1000 15/16 - Conservation Operations,$413.0M,$850.0M,48.6%
Apr,2015,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2014-FY2015,2015,"12-3510 14/15 - Special Supplemental Nutrition Program for Women, Infants, and C",$42.4M,$837.8M,5.1%
Apr,2015,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015-FY2016,2016,12-3505 15/16 - Supplemental Nutrition Assistance Program,$240.5M,$824.0M,29.2%
Apr,2015,Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$623.1M,$747.2M,83.4%
Apr,2015,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$312.0M,$743.5M,42.0%
Apr,2015,Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$619.6M,$688.1M,90.0%
Apr,2015,Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2015,2015,12-0403 /15 - Salaries and Expenses,$281.9M,$682.7M,41.3%
Apr,2015,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$440.6M,$662.0M,66.5%
Apr,2015,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2014-FY2015,2015,12-3539 14/15 - State Child Nutrition Programs,$407.8M,$644.6M,63.3%
Apr,2015,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2015,2015,12-1600 /15 - Salaries and Expenses,$278.7M,$641.8M,43.4%
Apr,2015,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$420.4M,$629.3M,66.8%
Apr,2015,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$365.9M,$594.4M,61.6%
Apr,2015,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$475.2M,$584.9M,81.2%
Apr,2015,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2015,2015,12-1140 /15 - Agricultural Credit Insurance Fund Program Account,$276.1M,$514.2M,53.7%
Apr,2015,Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$399.0M,$510.6M,78.1%
Apr,2015,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2015,2015,12-2081 /15 - Rural Housing Insurance Fund Program Account,$53.7M,$495.0M,10.8%
Apr,2015,Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$424.9M,$464.2M,91.5%
Apr,2015,Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2015,2015,12-0502 /15 - Extension Activities,$88.3M,$455.4M,19.4%
Apr,2015,Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$274.4M,$454.2M,60.4%
Apr,2015,Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$362.4M,$427.3M,84.8%
Apr,2015,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2015,2015,12-1500 /15 - Research and Education Activities,$123.8M,$417.1M,29.7%
Apr,2015,Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$215.7M,$393.4M,54.8%
Apr,2015,Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$290.1M,$379.9M,76.4%
Apr,2015,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$356.2M,$356.2M,100.0%
Apr,2015,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2015,2015,12-2900 /15 - Salaries and Expenses,$226.5M,$355.4M,63.7%
Apr,2015,Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$324.7M,$325.3M,99.8%
Apr,2015,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$311.1M,$324.8M,95.8%
Apr,2015,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$204.4M,$318.7M,64.1%
Apr,2015,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$146.0M,$313.8M,46.5%
Apr,2015,Department of Agriculture,Forest Service,FLAME Wildfire Suppression Reserve Fund,12-1120,No Year,No Year,12-1120 /X - FLAME Wildfire Suppression Reserve Fund,$303.1M,$303.1M,100.0%
Apr,2015,Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2015-FY2016,2016,12-3507 15/16 - Commodity Assistance Program,$113.7M,$300.1M,37.9%
Apr,2015,Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$291.9M,$296.0M,98.6%
